sim,field,region,arm,nrmse_mean,nrmse_std,vs_base_x,static_share,dyn_nrmse_fluctrange,n_seeds
sim_Cc_060,vx,near,ms,2.4393e-02,1.6592e-03,5.7325e+00,2.8528e-02,3.1514e-02,5
sim_Cc_060,vx,near,ms_t0,2.6450e-02,1.8640e-03,5.2868e+00,5.4310e-02,3.3704e-02,5
sim_Cc_060,vx,near,ms_tik,2.5242e-02,3.2515e-03,5.5397e+00,2.6885e-02,3.2636e-02,5
sim_Cc_060,vx,near,ms_tik_d10,2.9506e-02,3.2699e-04,4.7392e+00,2.6537e-02,3.8154e-02,5
sim_Cc_060,vx,near,ms_wall,2.5986e-02,1.5507e-03,5.3811e+00,3.1223e-02,3.3526e-02,5
sim_Cc_060,vx,wake,base,1.0377e-02,2.4198e-04,1.0000e+00,3.4035e-01,1.1039e-02,5
sim_Cc_060,vx,wake,ms,7.4490e-03,4.1786e-04,1.3930e+00,5.3667e-02,9.5000e-03,5
sim_Cc_060,vx,wake,ms_t0,7.7032e-03,1.5447e-04,1.3471e+00,6.6993e-02,9.7505e-03,5
sim_Cc_060,vx,wake,ms_tik,7.3261e-03,4.6603e-04,1.4164e+00,4.5044e-02,9.3838e-03,5
sim_Cc_060,vx,wake,ms_tik_d10,7.9363e-03,2.5158e-04,1.3075e+00,3.0687e-02,1.0241e-02,5
sim_Cc_060,vx,wake,ms_wall,7.8063e-03,3.5936e-04,1.3293e+00,3.8684e-02,1.0033e-02,5
sim_Cc_060,vx,far,base,6.1445e-02,1.2463e-04,1.0000e+00,9.8426e-01,1.0061e-02,5
sim_Cc_060,vx,far,ms,5.7759e-03,4.4561e-04,1.0638e+01,9.1474e-02,7.2181e-03,5
sim_Cc_060,vx,far,ms_t0,5.9754e-03,4.7853e-04,1.0283e+01,1.0197e-01,7.4170e-03,5
sim_Cc_060,vx,far,ms_tik,5.5294e-03,8.0988e-04,1.1112e+01,8.2744e-02,6.9481e-03,5
sim_Cc_060,vx,far,ms_tik_d10,8.0211e-03,1.0239e-03,7.6604e+00,3.1509e-02,1.0347e-02,5
sim_Cc_060,vx,far,ms_wall,5.2134e-03,2.9786e-04,1.1786e+01,6.4978e-02,6.6093e-03,5
sim_Cc_060,vx,surface,base,3.8366e-02,2.2109e-03,1.0000e+00,5.5060e-01,3.3566e-02,5
sim_Cc_060,vx,surface,ms,2.8201e-02,1.1673e-03,1.3604e+00,2.5632e-02,3.6485e-02,5
sim_Cc_060,vx,surface,ms_t0,2.9831e-02,2.4380e-03,1.2861e+00,6.1590e-02,3.7862e-02,5
sim_Cc_060,vx,surface,ms_tik,2.7363e-02,3.7604e-03,1.4021e+00,2.2902e-02,3.5443e-02,5
sim_Cc_060,vx,surface,ms_tik_d10,3.1999e-02,1.1867e-03,1.1989e+00,2.8343e-02,4.1341e-02,5
sim_Cc_060,vx,surface,ms_wall,2.9969e-02,4.7322e-03,1.2802e+00,3.4102e-02,3.8610e-02,5
sim_Cc_060,vy,all,base,2.3825e-02,1.3160e-03,1.0000e+00,7.5574e-01,1.5060e-02,5
sim_Cc_060,vy,all,ms,1.0079e-02,9.3117e-04,2.3638e+00,3.5285e-02,1.2710e-02,5
sim_Cc_060,vy,all,ms_t0,1.0668e-02,1.1340e-03,2.2334e+00,6.8777e-02,1.3216e-02,5
sim_Cc_060,vy,all,ms_tik,1.0693e-02,1.3115e-03,2.2281e+00,3.2482e-02,1.3503e-02,5
sim_Cc_060,vy,all,ms_tik_d10,1.1858e-02,2.1849e-04,2.0092e+00,2.4147e-02,1.5036e-02,5
sim_Cc_060,vy,all,ms_wall,1.0278e-02,1.0093e-03,2.3181e+00,3.3923e-02,1.2970e-02,5
sim_Cc_060,vy,near,base,2.9739e-02,1.8660e-03,1.0000e+00,8.3683e-01,1.5365e-02,5
sim_Cc_060,vy,near,ms,1.2276e-02,9.9980e-04,2.4225e+00,3.2098e-02,1.5504e-02,5
sim_Cc_060,vy,near,ms_t0,1.2841e-02,1.2632e-03,2.3158e+00,6.9989e-02,1.5900e-02,5
sim_Cc_060,vy,near,ms_tik,1.2903e-02,1.1949e-03,2.3047e+00,2.8909e-02,1.6324e-02,5
sim_Cc_060,vy,near,ms_tik_d10,1.4775e-02,1.5417e-04,2.0127e+00,2.2117e-02,1.8755e-02,5
sim_Cc_060,vy,near,ms_wall,1.2458e-02,1.0981e-03,2.3871e+00,3.1656e-02,1.5738e-02,5
sim_Cc_060,vy,wake,base,1.2285e-02,1.0684e-03,1.0000e+00,1.0473e-01,1.4928e-02,5
sim_Cc_060,vy,wake,ms,5.7688e-03,9.1006e-04,2.1295e+00,5.6148e-02,7.2014e-03,5
sim_Cc_060,vy,wake,ms_t0,6.5028e-03,9.6821e-04,1.8892e+00,6.8705e-02,8.0442e-03,5
sim_Cc_060,vy,wake,ms_tik,6.2542e-03,1.7525e-03,1.9642e+00,5.5116e-02,7.8133e-03,5
sim_Cc_060,vy,wake,ms_tik_d10,4.4600e-03,5.1175e-04,2.7544e+00,3.9082e-02,5.6118e-03,5
sim_Cc_060,vy,wake,ms_wall,5.7848e-03,1.1837e-03,2.1236e+00,4.6247e-02,7.2613e-03,5
sim_Cc_060,vy,far,base,1.2281e-02,8.0470e-04,1.0000e+00,1.7525e-01,1.4322e-02,5
sim_Cc_060,vy,far,ms,6.3459e-03,9.6568e-04,1.9352e+00,5.2385e-02,7.9391e-03,5
sim_Cc_060,vy,far,ms_t0,7.1016e-03,1.0691e-03,1.7293e+00,5.6447e-02,8.8552e-03,5
sim_Cc_060,vy,far,ms_tik,7.0280e-03,1.9422e-03,1.7474e+00,4.9703e-02,8.8071e-03,5
sim_Cc_060,vy,far,ms_tik_d10,7.3651e-03,9.3140e-04,1.6674e+00,3.8504e-02,9.2685e-03,5
sim_Cc_060,vy,far,ms_wall,6.7766e-03,1.1072e-03,1.8122e+00,4.5158e-02,8.5074e-03,5
sim_Cc_060,vy,surface,base,2.8285e-02,6.1300e-03,1.0000e+00,6.6770e-01,2.0019e-02,5
sim_Cc_060,vy,surface,ms,1.7599e-02,9.2040e-04,1.6071e+00,2.9585e-02,2.2256e-02,5
sim_Cc_060,vy,surface,ms_t0,1.8589e-02,1.1989e-03,1.5216e+00,8.3676e-02,2.2847e-02,5
sim_Cc_060,vy,surface,ms_tik,1.8212e-02,1.0278e-03,1.5531e+00,2.8348e-02,2.3044e-02,5
sim_Cc_060,vy,surface,ms_tik_d10,1.9978e-02,8.4859e-05,1.4158e+00,2.3828e-02,2.5337e-02,5
sim_Cc_060,vy,surface,ms_wall,1.7314e-02,1.8276e-03,1.6336e+00,3.6335e-02,2.1820e-02,5
sim_Cc_060,p,all,base,2.4355e-02,4.6971e-04,1.0000e+00,6.7615e-01,1.4873e-02,5
sim_Cc_060,p,all,ms,1.2822e-02,7.2435e-04,1.8994e+00,6.9505e-02,1.3281e-02,5
sim_Cc_060,p,all,ms_t0,1.3515e-02,1.6850e-03,1.8021e+00,8.5129e-02,1.3872e-02,5
sim_Cc_060,p,all,ms_tik,1.3902e-02,1.3176e-03,1.7519e+00,6.1325e-02,1.4470e-02,5
sim_Cc_060,p,all,ms_tik_d10,1.5505e-02,4.3653e-05,1.5707e+00,2.3749e-02,1.6442e-02,5
sim_Cc_060,p,all,ms_wall,1.2310e-02,1.1760e-03,1.9785e+00,7.1335e-02,1.2735e-02,5
sim_Cc_060,p,near,base,3.0607e-02,6.6735e-04,1.0000e+00,7.4321e-01,1.6641e-02,5
sim_Cc_060,p,near,ms,1.5616e-02,1.0001e-03,1.9601e+00,5.4663e-02,1.6302e-02,5
sim_Cc_060,p,near,ms_t0,1.6668e-02,2.2177e-03,1.8363e+00,7.6806e-02,1.7184e-02,5
sim_Cc_060,p,near,ms_tik,1.7250e-02,1.8449e-03,1.7743e+00,4.9329e-02,1.8065e-02,5
sim_Cc_060,p,near,ms_tik_d10,2.0038e-02,1.1765e-04,1.5275e+00,2.3274e-02,2.1254e-02,5
sim_Cc_060,p,near,ms_wall,1.5082e-02,1.7233e-03,2.0293e+00,6.1348e-02,1.5685e-02,5
sim_Cc_060,p,wake,base,1.1951e-02,2.2685e-04,1.0000e+00,6.9950e-02,1.2367e-02,5
sim_Cc_060,p,wake,ms,7.4000e-03,8.5978e-04,1.6149e+00,1.4425e-01,7.3426e-03,5
sim_Cc_060,p,wake,ms_t0,6.8767e-03,4.7725e-04,1.7378e+00,1.4453e-01,6.8201e-03,5
sim_Cc_060,p,wake,ms_tik,7.1432e-03,3.8570e-04,1.6730e+00,1.3033e-01,7.1392e-03,5
sim_Cc_060,p,wake,ms_tik_d10,3.8122e-03,5.7108e-04,3.1348e+00,3.0725e-02,4.0296e-03,5
sim_Cc_060,p,wake,ms_wall,6.8831e-03,2.7225e-04,1.7362e+00,1.3320e-01,6.8727e-03,5
sim_Cc_060,p,far,base,1.1925e-02,1.3173e-04,1.0000e+00,1.2536e-01,1.1969e-02,5
sim_Cc_060,p,far,ms,8.0037e-03,4.1317e-04,1.4899e+00,1.4768e-01,7.9334e-03,5
sim_Cc_060,p,far,ms_t0,8.1191e-03,1.0929e-03,1.4687e+00,1.3008e-01,8.1312e-03,5
sim_Cc_060,p,far,ms_tik,7.7593e-03,3.8955e-04,1.5368e+00,1.3901e-01,7.7252e-03,5
sim_Cc_060,p,far,ms_tik_d10,6.3945e-03,8.7039e-04,1.8648e+00,3.5481e-02,6.7439e-03,5
sim_Cc_060,p,far,ms_wall,7.3810e-03,3.1388e-04,1.6156e+00,1.2180e-01,7.4261e-03,5
sim_Cc_060,p,surface,base,2.5164e-02,2.3058e-03,1.0000e+00,4.0488e-01,2.0802e-02,5
sim_Cc_060,p,surface,ms,1.9451e-02,2.9573e-03,1.2937e+00,5.6272e-02,2.0302e-02,5
sim_Cc_060,p,surface,ms_t0,1.9781e-02,4.8452e-03,1.2721e+00,8.3131e-02,2.0337e-02,5
sim_Cc_060,p,surface,ms_tik,2.3159e-02,4.3550e-03,1.0866e+00,4.7789e-02,2.4293e-02,5
sim_Cc_060,p,surface,ms_tik_d10,2.9729e-02,1.1820e-04,8.4644e-01,2.5999e-02,3.1489e-02,5
sim_Cc_060,p,surface,ms_wall,1.8939e-02,3.7490e-03,1.3287e+00,6.8606e-02,1.9643e-02,5
