sim,d_s,field,region,time_window,nrmse,n_nodes,n_times,rmse,denom,denom_type
sim_A_025,5,vy,wake,excitation,1.604110e-02,2234,44,2.235581e+00,1.393659e+02,global_range_vy
sim_A_025,5,vy,wake,peak,1.543510e-02,2234,28,2.151126e+00,1.393659e+02,global_range_vy
sim_A_025,5,vy,wake,decay,1.497579e-02,2234,55,2.087114e+00,1.393659e+02,global_range_vy
sim_A_025,5,vy,wake,quiescent,1.482709e-02,2234,51,2.066390e+00,1.393659e+02,global_range_vy
sim_A_025,5,vy,far,all,2.394048e-02,2558,150,3.336486e+00,1.393659e+02,global_range_vy
sim_A_025,5,vy,far,excitation,2.847529e-02,2558,44,3.968484e+00,1.393659e+02,global_range_vy
sim_A_025,5,vy,far,peak,2.876319e-02,2558,28,4.008607e+00,1.393659e+02,global_range_vy
sim_A_025,5,vy,far,decay,2.246951e-02,2558,55,3.131483e+00,1.393659e+02,global_range_vy
sim_A_025,5,vy,far,quiescent,2.101660e-02,2558,51,2.928997e+00,1.393659e+02,global_range_vy
sim_A_025,5,vy,surface,all,4.536843e-02,387,150,6.322811e+00,1.393659e+02,global_range_vy
sim_A_025,5,vy,surface,excitation,4.857481e-02,387,44,6.769671e+00,1.393659e+02,global_range_vy
sim_A_025,5,vy,surface,peak,4.832793e-02,387,28,6.735264e+00,1.393659e+02,global_range_vy
sim_A_025,5,vy,surface,decay,4.431782e-02,387,55,6.176391e+00,1.393659e+02,global_range_vy
sim_A_025,5,vy,surface,quiescent,4.358942e-02,387,51,6.074877e+00,1.393659e+02,global_range_vy
sim_A_025,5,p,all,all,4.654750e-02,11075,150,4.936713e+02,1.060575e+04,global_range_p
sim_A_025,5,p,all,excitation,5.196131e-02,11075,44,5.510889e+02,1.060575e+04,global_range_p
sim_A_025,5,p,all,peak,5.195581e-02,11075,28,5.510306e+02,1.060575e+04,global_range_p
sim_A_025,5,p,all,decay,4.471093e-02,11075,55,4.741932e+02,1.060575e+04,global_range_p
sim_A_025,5,p,all,quiescent,4.344316e-02,11075,51,4.607474e+02,1.060575e+04,global_range_p
sim_A_025,5,p,near,all,5.991796e-02,6283,150,6.354752e+02,1.060575e+04,global_range_p
sim_A_025,5,p,near,excitation,6.712229e-02,6283,44,7.118826e+02,1.060575e+04,global_range_p
sim_A_025,5,p,near,peak,6.711355e-02,6283,28,7.117898e+02,1.060575e+04,global_range_p
sim_A_025,5,p,near,decay,5.741424e-02,6283,55,6.089213e+02,1.060575e+04,global_range_p
sim_A_025,5,p,near,quiescent,5.583325e-02,6283,51,5.921537e+02,1.060575e+04,global_range_p
sim_A_025,5,p,wake,all,1.122325e-02,2234,150,1.190310e+02,1.060575e+04,global_range_p
sim_A_025,5,p,wake,excitation,1.141673e-02,2234,44,1.210830e+02,1.060575e+04,global_range_p
sim_A_025,5,p,wake,peak,1.130945e-02,2234,28,1.199452e+02,1.060575e+04,global_range_p
sim_A_025,5,p,wake,decay,1.151228e-02,2234,55,1.220964e+02,1.060575e+04,global_range_p
sim_A_025,5,p,wake,quiescent,1.072825e-02,2234,51,1.137812e+02,1.060575e+04,global_range_p
sim_A_025,5,p,far,all,2.127190e-02,2558,150,2.256046e+02,1.060575e+04,global_range_p
sim_A_025,5,p,far,excitation,2.257496e-02,2558,44,2.394244e+02,1.060575e+04,global_range_p
sim_A_025,5,p,far,peak,2.263107e-02,2558,28,2.400195e+02,1.060575e+04,global_range_p
sim_A_025,5,p,far,decay,2.103971e-02,2558,55,2.231420e+02,1.060575e+04,global_range_p
sim_A_025,5,p,far,quiescent,2.034197e-02,2558,51,2.157420e+02,1.060575e+04,global_range_p
sim_A_025,5,p,surface,all,4.264140e-02,387,150,4.522442e+02,1.060575e+04,global_range_p
sim_A_025,5,p,surface,excitation,5.782098e-02,387,44,6.132350e+02,1.060575e+04,global_range_p
sim_A_025,5,p,surface,peak,5.705565e-02,387,28,6.051182e+02,1.060575e+04,global_range_p
sim_A_025,5,p,surface,decay,3.608690e-02,387,55,3.827287e+02,1.060575e+04,global_range_p
sim_A_025,5,p,surface,quiescent,3.254413e-02,387,51,3.451550e+02,1.060575e+04,global_range_p
sim_A_025,5,combined,all,all,2.690929e-02,11075,150,2.853934e+02,1.060575e+04,global_range_all_fields
sim_A_025,5,combined,all,excitation,3.003186e-02,11075,44,3.185106e+02,1.060575e+04,global_range_all_fields
sim_A_025,5,combined,all,peak,3.002867e-02,11075,28,3.184767e+02,1.060575e+04,global_range_all_fields
sim_A_025,5,combined,all,decay,2.585021e-02,11075,55,2.741610e+02,1.060575e+04,global_range_all_fields
sim_A_025,5,combined,all,quiescent,2.511914e-02,11075,51,2.664074e+02,1.060575e+04,global_range_all_fields
sim_A_025,5,combined,near,all,3.463600e-02,6283,150,3.673409e+02,1.060575e+04,global_range_all_fields
sim_A_025,5,combined,near,excitation,3.879149e-02,6283,44,4.114130e+02,1.060575e+04,global_range_all_fields
sim_A_025,5,combined,near,peak,3.878642e-02,6283,28,4.113592e+02,1.060575e+04,global_range_all_fields
sim_A_025,5,combined,near,decay,3.319211e-02,6283,55,3.520274e+02,1.060575e+04,global_range_all_fields
sim_A_025,5,combined,near,quiescent,3.228037e-02,6283,51,3.423577e+02,1.060575e+04,global_range_all_fields
sim_A_025,5,combined,wake,all,6.482384e-03,2234,150,6.875057e+01,1.060575e+04,global_range_all_fields
sim_A_025,5,combined,wake,excitation,6.594282e-03,2234,44,6.993733e+01,1.060575e+04,global_range_all_fields
sim_A_025,5,combined,wake,peak,6.532278e-03,2234,28,6.927974e+01,1.060575e+04,global_range_all_fields
sim_A_025,5,combined,wake,decay,6.649137e-03,2234,55,7.051911e+01,1.060575e+04,global_range_all_fields
sim_A_025,5,combined,wake,quiescent,6.196567e-03,2234,51,6.571926e+01,1.060575e+04,global_range_all_fields
sim_A_025,5,combined,far,all,1.231951e-02,2558,150,1.306577e+02,1.060575e+04,global_range_all_fields
sim_A_025,5,combined,far,excitation,1.307057e-02,2558,44,1.386233e+02,1.060575e+04,global_range_all_fields
sim_A_025,5,combined,far,peak,1.310295e-02,2558,28,1.389667e+02,1.060575e+04,global_range_all_fields
sim_A_025,5,combined,far,decay,1.218558e-02,2558,55,1.292372e+02,1.060575e+04,global_range_all_fields
sim_A_025,5,combined,far,quiescent,1.178379e-02,2558,51,1.249760e+02,1.060575e+04,global_range_all_fields
sim_A_025,5,combined,surface,all,2.462603e-02,387,150,2.611777e+02,1.060575e+04,global_range_all_fields
sim_A_025,5,combined,surface,excitation,3.338877e-02,387,44,3.541131e+02,1.060575e+04,global_range_all_fields
sim_A_025,5,combined,surface,peak,3.294692e-02,387,28,3.494269e+02,1.060575e+04,global_range_all_fields
sim_A_025,5,combined,surface,decay,2.084281e-02,387,55,2.210537e+02,1.060575e+04,global_range_all_fields
sim_A_025,5,combined,surface,quiescent,1.879786e-02,387,51,1.993655e+02,1.060575e+04,global_range_all_fields
sim_A_025,5,p_surface,surface,all,4.264140e-02,387,150,4.522442e+02,1.060575e+04,surface_p_range
sim_A_025,5,p_surface,surface,excitation,5.782098e-02,387,44,6.132350e+02,1.060575e+04,surface_p_range
sim_A_025,5,p_surface,surface,peak,5.705565e-02,387,28,6.051182e+02,1.060575e+04,surface_p_range
sim_A_025,5,p_surface,surface,decay,3.608690e-02,387,55,3.827287e+02,1.060575e+04,surface_p_range
sim_A_025,5,p_surface,surface,quiescent,3.254413e-02,387,51,3.451550e+02,1.060575e+04,surface_p_range
sim_A_025,5,vorticity,all,all,8.607382e-01,17989,150,1.532808e+04,1.780807e+04,fom_vorticity_rms
sim_A_025,5,vorticity,all,excitation,8.564065e-01,17989,44,1.629842e+04,1.903117e+04,fom_vorticity_rms
