sim,d_s,field,region,component,rmse,nrmse_fullrange,nrmse_fluctrange,rel_to_fluct_rms,n_nodes
sim_Cc_060,1,p,near,dynamic,3.297540e+02,1.505287e-02,1.615522e-02,6.761070e-01,6283
sim_Cc_060,1,p,wake,static,4.082436e+01,1.863583e-03,2.000057e-03,1.589524e-01,2234
sim_Cc_060,1,p,wake,dynamic,2.572523e+02,1.174326e-02,1.260324e-02,1.001629e+00,2234
sim_Cc_060,1,p,far,static,8.957292e+01,4.088896e-03,4.388334e-03,3.413845e-01,2558
sim_Cc_060,1,p,far,dynamic,2.496673e+02,1.139701e-02,1.223164e-02,9.515436e-01,2558
sim_Cc_060,1,p,surface,static,3.063882e+02,1.398625e-02,1.501049e-02,4.325123e-01,387
sim_Cc_060,1,p,surface,dynamic,4.400732e+02,2.008881e-02,2.155995e-02,6.212284e-01,387
sim_Cc_060,5,vx,all,static,2.450240e+01,1.167041e-01,1.529559e-01,5.038352e+00,11075
sim_Cc_060,5,vx,all,dynamic,4.768690e+00,2.271311e-02,2.976849e-02,9.805710e-01,11075
sim_Cc_060,5,vx,near,static,3.050558e+01,1.452971e-01,1.904307e-01,4.848012e+00,6283
sim_Cc_060,5,vx,near,dynamic,6.148739e+00,2.928624e-02,3.838342e-02,9.771706e-01,6283
sim_Cc_060,5,vx,wake,static,2.717103e+00,1.294147e-02,1.696148e-02,1.513199e+00,2234
sim_Cc_060,5,vx,wake,dynamic,1.821253e+00,8.674568e-03,1.136915e-02,1.014285e+00,2234
sim_Cc_060,5,vx,far,static,1.752555e+01,8.347358e-02,1.094030e-01,1.148527e+01,2558
sim_Cc_060,5,vx,far,dynamic,1.642212e+00,7.821802e-03,1.025149e-02,1.076215e+00,2558
sim_Cc_060,5,vx,surface,static,8.513530e+00,4.054966e-02,5.314560e-02,1.183410e+00,387
sim_Cc_060,5,vx,surface,dynamic,6.597145e+00,3.142198e-02,4.118259e-02,9.170261e-01,387
sim_Cc_060,5,vy,all,static,5.328100e+00,2.432981e-02,3.122991e-02,1.552912e+00,11075
sim_Cc_060,5,vy,all,dynamic,3.406787e+00,1.555648e-02,1.996840e-02,9.929317e-01,11075
sim_Cc_060,5,vy,near,static,6.679946e+00,3.050277e-02,3.915356e-02,1.898483e+00,6283
sim_Cc_060,5,vy,near,dynamic,3.460423e+00,1.580140e-02,2.028278e-02,9.834743e-01,6283
sim_Cc_060,5,vy,wake,static,1.826143e+00,8.338751e-03,1.070368e-02,6.029680e-01,2234
sim_Cc_060,5,vy,wake,dynamic,3.039134e+00,1.387765e-02,1.781345e-02,1.003481e+00,2234
sim_Cc_060,5,vy,far,static,3.224489e+00,1.472405e-02,1.889989e-02,9.102664e-01,2558
sim_Cc_060,5,vy,far,dynamic,3.573682e+00,1.631857e-02,2.094664e-02,1.008843e+00,2558
sim_Cc_060,5,vy,surface,static,6.048763e+00,2.762058e-02,3.545397e-02,1.460258e+00,387
sim_Cc_060,5,vy,surface,dynamic,4.150603e+00,1.895298e-02,2.432817e-02,1.002015e+00,387
sim_Cc_060,5,p,all,static,4.752552e+02,2.169483e-02,2.328358e-02,1.172999e+00,11075
sim_Cc_060,5,p,all,dynamic,4.026853e+02,1.838210e-02,1.972826e-02,9.938858e-01,11075
sim_Cc_060,5,p,near,static,6.115095e+02,2.791467e-02,2.995892e-02,1.253801e+00,6283
sim_Cc_060,5,p,near,dynamic,4.839612e+02,2.209224e-02,2.371010e-02,9.922838e-01,6283
sim_Cc_060,5,p,wake,static,1.135849e+02,5.185014e-03,5.564723e-03,4.422505e-01,2234
sim_Cc_060,5,p,wake,dynamic,2.570582e+02,1.173440e-02,1.259373e-02,1.000874e+00,2234
sim_Cc_060,5,p,far,static,2.194347e+02,1.001693e-02,1.075049e-02,8.363195e-01,2558
sim_Cc_060,5,p,far,dynamic,2.627940e+02,1.199623e-02,1.287474e-02,1.001573e+00,2558
sim_Cc_060,5,p,surface,static,3.667122e+02,1.673997e-02,1.796587e-02,5.176684e-01,387
sim_Cc_060,5,p,surface,dynamic,7.220015e+02,3.295850e-02,3.537212e-02,1.019212e+00,387
sim_Cc_060,10,vx,all,static,2.475942e+01,1.179283e-01,1.545604e-01,5.091203e+00,11075
sim_Cc_060,10,vx,all,dynamic,4.893903e+00,2.330950e-02,3.055013e-02,1.006318e+00,11075
sim_Cc_060,10,vx,near,static,3.086435e+01,1.470059e-01,1.926703e-01,4.905027e+00,6283
sim_Cc_060,10,vx,near,dynamic,6.327950e+00,3.013981e-02,3.950214e-02,1.005651e+00,6283
sim_Cc_060,10,vx,wake,static,2.643469e+00,1.259075e-02,1.650182e-02,1.472191e+00,2234
sim_Cc_060,10,vx,wake,dynamic,1.810652e+00,8.624075e-03,1.130297e-02,1.008381e+00,2234
sim_Cc_060,10,vx,far,static,1.755644e+01,8.362073e-02,1.095958e-01,1.150552e+01,2558
sim_Cc_060,10,vx,far,dynamic,1.573770e+00,7.495812e-03,9.824236e-03,1.031361e+00,2558
sim_Cc_060,10,vx,surface,static,8.929829e+00,4.253248e-02,5.574434e-02,1.241277e+00,387
sim_Cc_060,10,vx,surface,dynamic,7.869817e+00,3.748367e-02,4.912723e-02,1.093932e+00,387
sim_Cc_060,10,vy,all,static,5.768691e+00,2.634168e-02,3.381237e-02,1.681325e+00,11075
sim_Cc_060,10,vy,all,dynamic,3.279583e+00,1.497563e-02,1.922282e-02,9.558573e-01,11075
sim_Cc_060,10,vy,near,static,7.559059e+00,3.451708e-02,4.430636e-02,2.148333e+00,6283
sim_Cc_060,10,vy,near,dynamic,3.250613e+00,1.484334e-02,1.905301e-02,9.238450e-01,6283
sim_Cc_060,10,vy,wake,static,1.332680e+00,6.085445e-03,7.811319e-03,4.400333e-01,2234
sim_Cc_060,10,vy,wake,dynamic,3.027945e+00,1.382657e-02,1.774787e-02,9.997872e-01,2234
sim_Cc_060,10,vy,far,static,1.476581e+00,6.742538e-03,8.654769e-03,4.168356e-01,2558
sim_Cc_060,10,vy,far,dynamic,3.550566e+00,1.621302e-02,2.081114e-02,1.002317e+00,2558
sim_Cc_060,10,vy,surface,static,1.028885e+01,4.698217e-02,6.030664e-02,2.483876e+00,387
sim_Cc_060,10,vy,surface,dynamic,3.869910e+00,1.767125e-02,2.268293e-02,9.342520e-01,387
sim_Cc_060,10,p,all,static,4.671813e+02,2.132626e-02,2.288803e-02,1.153071e+00,11075
sim_Cc_060,10,p,all,dynamic,3.777174e+02,1.724234e-02,1.850504e-02,9.322613e-01,11075
sim_Cc_060,10,p,near,static,6.123252e+02,2.795191e-02,2.999888e-02,1.255473e+00,6283
sim_Cc_060,10,p,near,dynamic,4.471947e+02,2.041390e-02,2.190885e-02,9.169001e-01,6283
sim_Cc_060,10,p,wake,static,7.712810e+01,3.520805e-03,3.778641e-03,3.003035e-01,2234
sim_Cc_060,10,p,wake,dynamic,2.568591e+02,1.172531e-02,1.258398e-02,1.000098e+00,2234
sim_Cc_060,10,p,far,static,1.372131e+02,6.263614e-03,6.722311e-03,5.229530e-01,2558
sim_Cc_060,10,p,far,dynamic,2.624459e+02,1.198034e-02,1.285768e-02,1.000246e+00,2558
sim_Cc_060,10,p,surface,static,3.667664e+02,1.674244e-02,1.796852e-02,5.177449e-01,387
sim_Cc_060,10,p,surface,dynamic,6.391400e+02,2.917597e-02,3.131259e-02,9.022407e-01,387
