phase,kind,step,train_loss,valid_loss,wall_s
adam_r0,iter,273,0.0008024647108620593,0.002605482508019817,2265.6455359458923
adam_r0,iter,274,0.0008004178681419021,0.002603452047204717,2273.1385431289673
adam_r0,iter,275,0.000798391034279114,0.002601441475387197,2280.0063247680664
adam_r0,iter,276,0.0007963839456283804,0.0025994505602565544,2286.744325876236
adam_r0,iter,277,0.0007943963428451528,0.002597479026107274,2293.694664955139
adam_r0,iter,278,0.0007924279708045967,0.0025955265568975787,2300.4621102809906
adam_r0,iter,279,0.0007904785785088207,0.002593592845118676,2307.1809492111206
adam_r0,iter,280,0.0007885479190027564,0.002591677644783931,2313.8630497455597
adam_r0,iter,281,0.0007866357492996466,0.002589780784457063,2320.625576019287
adam_r0,iter,282,0.0007847418303045844,0.0025879021276842933,2327.6683342456818
adam_r0,iter,283,0.0007828659267414999,0.0025860415081860326,2334.439901828766
adam_r0,iter,284,0.0007810078070886504,0.0025841986857069728,2341.609224796295
adam_r0,iter,285,0.000779167243511137,0.002582373352960715,2348.200142145157
adam_r0,iter,286,0.000777344011785915,0.002580565187454168,2355.718337059021
adam_r0,iter,287,0.0007755378912293553,0.0025787739114173907,2363.6722769737244
adam_r0,iter,288,0.0007737486646303819,0.002576999319869668,2370.800733566284
adam_r0,iter,289,0.0007719761181842556,0.0025752412615196773,2378.5617773532867
adam_r0,iter,290,0.0007702200414285533,0.00257349959047191,2386.544996023178
adam_r0,iter,291,0.0007684802271837549,0.002571774124650089,2394.898426055908
adam_r0,iter,292,0.0007667564714939385,0.002570064638201261,2403.1998097896576
adam_r0,iter,293,0.000765048573566046,0.0025683708883639926,2411.5031402111053
adam_r0,iter,294,0.0007633563357118276,0.002566692652925,2419.257588863373
adam_r0,iter,295,0.0007616795632921621,0.0025650297494987533,2427.2355008125305
adam_r0,iter,296,0.0007600180646604789,0.0025633820241278233,2434.895530939102
adam_r0,iter,297,0.0007583716511070838,0.0025617493204934147,2442.9865353107452
adam_r0,iter,298,0.0007567401368067342,0.0025601314544642715,2451.527491092682
adam_r0,iter,299,0.0007551233387669736,0.0025585282129151534,2459.0364260673523
adam_r0,iter,300,0.000753521076775714,0.0025569393765049256,2465.8180384635925
adam_r1,iter,0,0.6356301417911246,0.5813467047959989,2551.2802345752716
adam_r1,iter,1,0.8632452184211399,0.8759712332136956,2560.402648448944
adam_r1,iter,2,1.199711488063312,1.2048082225476149,2569.1201524734497
adam_r1,iter,3,0.6084560322969902,0.6085207216126416,2577.6512949466705
adam_r1,iter,4,0.6730170335365627,0.6743981239488377,2586.209933280945
adam_r1,iter,5,0.34059744659310914,0.34105210917836926,2594.5286123752594
adam_r1,iter,6,0.7081885198759903,0.7077461416474041,2602.9980640411377
